YEAR,FIRM,SALE,XOPR
2010,ADCT.1,1157,1035
2010,CECE,141,134
2011,CECE,139,125
2012,CECE,135,117
2013,CECE,197,172
2014,CECE,263,228
2015,CECE,367,322
2016,CECE,417,361
2017,CECE,345,317
2018,CECE,337,310
2009,AVX,1305,1078
2010,AVX,1653,1272
2011,AVX,1545,1223
2012,AVX,1414,1221
2013,AVX,1443,1233
2014,AVX,1353,1098
2015,AVX,1196,987
2016,AVX,1313,1068
2017,AVX,1562,1320
2018,AVX,1792,1388
2010,ABT,35167,24504
2011,ABT,38851,26811
2012,ABT,39874,27307
2013,ABT,21848,17455
2014,ABT,20247,15772
2015,ABT,20405,15561
2016,ABT,20853,15878
2017,ABT,27390,20373
2018,ABT,30578,23016
2010,ACU,63,59
2011,ACU,73,68
2012,ACU,84,78
2013,ACU,90,82
2014,ACU,107,98
2015,ACU,110,100
2016,ACU,125,114
2017,ACU,131,120
2018,ACU,137,127
2010,BKTI,26,26
2011,BKTI,24,23
2012,BKTI,28,23
2013,BKTI,27,24
2014,BKTI,31,27
2015,BKTI,30,27
2016,BKTI,51,45
2017,BKTI,39,40
2018,BKTI,49,46
2010,AMD,6494,5685
2011,AMD,6568,5827
2012,AMD,5422,5198
2013,AMD,5299,5057
2014,AMD,5506,5228
2015,AMD,3991,4213
2016,AMD,4272,4331
2017,AMD,5329,5100
2018,AMD,6475,5885
2019,AMD,6731,6006
2010,ASMIY,1623,1124
2011,ASMIY,2120,1711
2012,ASMIY,1870,1677
2013,ASMIY,844,745
2014,ASMIY,660,525
2015,ASMIY,727,545
2016,ASMIY,631,492
2017,ASMIY,887,692
2018,ASMIY,937,732
2009,AIM.1,31,26
2010,AIM.1,30,27
2011,AIM.1,30,28
2012,AIM.1,31,29
2010,APD,9026,6720
2011,APD,10082,7580
2012,APD,9612,7281
2013,APD,10180,7765
2014,APD,10439,7878
2015,APD,9895,7088
2016,APD,9524,6458
2017,APD,8188,5661
2018,APD,8930,6068
2019,APD,8919,5716
2010,ATRI,109,71
2011,ATRI,118,73
2012,ATRI,119,78
2013,ATRI,132,85
2014,ATRI,141,91
2015,ATRI,146,94
2016,ATRI,143,95
2017,ATRI,147,97
2018,ATRI,152,102
2010,ACV.1,1598,1336
2010,ACEL.,0,2
2011,ACEL.,5,1
2012,ACEL.,1,1
2009,0065A,1409,1416
2010,0065A,1768,1842
2011,0065A,2160,1882
2012,0065A,1866,1850
2013,0065A,1792,1884
2010,SWKS,1072,820
2011,SWKS,1419,1033
2012,SWKS,1569,1187
2013,SWKS,1792,1335
2014,SWKS,2292,1598
2015,SWKS,3258,2036
2016,SWKS,3289,1910
2017,SWKS,3651,2139
2018,SWKS,3868,2248
2019,SWKS,3377,1963
2010,APNI,124,130
2011,APNI,167,157
2012,APNI,97,98
2010,AA.3,21013,18309
2011,AA.3,24951,21691
2012,AA.3,23700,21401
2013,AA.3,23032,20486
2014,AA.3,23906,20290
2015,AA.3,22534,19261
2010,ABLT,202,194
2011,ABLT,209,206
2012,ABLT,214,210
2013,ABLT,209,202
2014,ABLT,206,196
2015,ABLT,195,191
2016,ABLT,184,179
2017,ABLT,201,191
2018,ABLT,203,197
2010,BEAM.2,6571,5516
2011,BEAM.2,2265,1557
2012,BEAM.2,2466,1715
2013,BEAM.2,2547,1753
2010,2388B,1204,1096
2011,2388B,1543,1417
2012,2388B,1479,1367
2013,2388B,1603,1487
2009,AM.1,1636,1436
2010,AM.1,1593,1370
2011,AM.1,1695,1487
2012,AM.1,1873,1697
2010,HAIPF,316,283
2011,HAIPF,530,511
2012,HAIPF,530,496
2013,HAIPF,524,507
2014,HAIPF,450,434
2015,HAIPF,447,413
2010,ALGI,12,12
2011,ALGI,13,13
2012,ALGI,14,13
2013,ALGI,15,16
2010,APFC,176,153
2011,APFC,210,180
2012,APFC,187,145
2013,APFC,215,161
2009,ASEI,242,183
2010,ASEI,279,209
2011,ASEI,204,166
2012,ASEI,187,155
2013,ASEI,190,162
2014,ASEI,127,121
2015,ASEI,103,102
2010,AVD,230,196
2011,AVD,304,255
2012,AVD,366,294
2013,AVD,381,311
2014,AVD,299,277
2015,AVD,289,261
2016,AVD,312,275
2017,AVD,355,311
2018,AVD,454,402
2010,AMN.2,503,451
2010,AME,2471,1916
2011,AME,2990,2265
2012,AME,3334,2483
2013,AME,3594,2660
2014,AME,4022,2985
2015,AME,3974,2881
2016,AME,3840,2833
2017,AME,4300,3178
2018,AME,4846,3571
2019,AME,5159,3747
2010,AMGN,15053,8445
2011,AMGN,15582,9220
2012,AMGN,17265,10215
2013,AMGN,18676,11100
2014,AMGN,20063,11107
2015,AMGN,21662,10951
2016,AMGN,22991,10991
2017,AMGN,22849,10397
2018,AMGN,23747,11238
2019,AMGN,23362,13578
2010,AP,327,274
2011,AP,345,298
2012,AP,293,266
2013,AP,281,257
2014,AP,273,256
2015,AP,238,231
2016,AP,332,326
2017,AP,432,420
2018,AP,419,410
2010,ADI,2762,1724
2011,ADI,2993,1800
2012,ADI,2701,1758
2013,ADI,2634,1734
2014,ADI,2865,1899
2015,ADI,3435,2148
2016,ADI,3421,2155
2017,ADI,5108,2989
2018,ADI,6201,3433
2019,ADI,5991,3374
2010,ALOG,424,384
2011,ALOG,474,429
2012,ALOG,517,456
2013,ALOG,550,480
2014,ALOG,518,462
2015,ALOG,540,477
2016,ALOG,509,440
2017,ALOG,486,445
2010,ANEN,169,140
2011,ANEN,179,148
2012,ANEN,147,128
2013,ANEN,158,132
2010,ANDR,5,4
2011,ANDR,4,4
2012,ANDR,3,4
2013,ANDR,3,4
2014,ANDR,3,5
2015,ANDR,13,10
2016,ANDR,4,5
2017,ANDR,7,8
2018,ANDR,1,2
2010,ASOE,10,15
2011,ASOE,10,14
2012,ASOE,4,9
2013,ASOE,17,18
2014,ASOE,4,5
2009,APOG,697,622
2010,APOG,583,578
